     1→<template>
     2→  <div class="p-4 md:p-8">
     3→    <div class="container mx-auto px-4 py-8">
     4→
     5→    <!-- Loading State -->
     6→    <div v-if="loading" class="flex justify-center items-center py-12">
     7→      <div class="animate-spin rounded-full h-12 w-12 border-b-2 border-blue-600"></div>
     8→    </div>
     9→
    10→    <!-- Error State -->
    11→    <div v-else-if="error" class="bg-red-50 border border-red-200 rounded-lg p-4 text-red-700">
    12→      {{ error }}
    13→    </div>
    14→
    15→    <!-- Extra Groups List -->
    16→    <div v-else-if="extraGroups.length > 0" class="grid gap-6">
    17→      <div
    18→        v-for="group in extraGroups"
    19→        :key="group.id"
    20→        class="mesh-card bg-md-surface rounded-2xl shadow-md-2 p-6 hover:shadow-md-4 transition-all border border-md-outline-variant"
    21→      >
    22→        <div class="flex justify-between items-start mb-4">
    23→          <div>
    24→            <h3 class="text-xl font-bold gradient-text">{{ group.name }}</h3>
    25→            <p v-if="group.Description" class="text-md-on-surface-variant mt-1">{{ group.description }}</p>
    26→            <div class="flex gap-4 mt-2 text-sm">
    27→              <span class="px-3 py-1 bg-md-primary-container text-md-on-primary-container rounded-full font-medium">
    28→                <i class="fas fa-arrow-down mr-1"></i>Min: {{ group.minRequired }}
    29→              </span>
    30→              <span class="px-3 py-1 bg-md-secondary-container text-md-on-secondary-container rounded-full font-medium">
    31→                <i class="fas fa-arrow-up mr-1"></i>Max: {{ group.maxAllowed || 'Unlimited' }}
    32→              </span>
    33→              <span v-if="group.allowMultipleQuantities" class="px-3 py-1 bg-md-success-container text-md-on-success-container rounded-full font-medium">
    34→                <i class="fas fa-check-circle mr-1"></i>Multiple Quantities
    35→              </span>
    36→            </div>
    37→          </div>
    38→          <div class="flex gap-2">
    39→            <button
    40→              @click="editGroup(group)"
    41→              class="p-2 text-md-primary hover:bg-md-primary-container rounded-xl transition-all shadow-md-1 hover:shadow-md-2"
    42→              title="Edit"
    43→            >
    44→              <i class="fas fa-edit"></i>
    45→            </button>
    46→            <button
    47→              @click="deleteGroup(group.id)"
    48→              class="p-2 text-md-error hover:bg-md-error-container rounded-xl transition-all shadow-md-1 hover:shadow-md-2"
    49→              title="Delete"
    50→            >
    51→              <i class="fas fa-trash"></i>
    52→            </button>
    53→          </div>
    54→        </div>
    55→
    56→        <!-- Extras in Group -->
    57→        <div v-if="group.extras && group.extras.length > 0" class="mt-4">
    58→          <h4 class="text-sm font-semibold text-md-on-surface mb-2">Extras in this group:</h4>
    59→          <div class="grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-2">
    60→            <div
    61→              v-for="item in group.extras"
    62→              :key="item.id"
    63→              class="flex justify-between items-center bg-md-surface-container rounded-lg p-3"
    64→            >
    65→              <div>
    66→                <span class="text-sm font-semibold text-md-on-surface">{{ item.extra.name }}</span>
    67→                <span class="text-xs text-gray-500 ml-2">
    68→                  R{{ (item.priceOverride !== null ? item.priceOverride : item.extra.basePrice).toFixed(2) }}
    69→                </span>
    70→              </div>
    71→            </div>
    72→          </div>
    73→        </div>
    74→        <div v-else class="mt-4 text-sm text-gray-500 italic">
    75→          No extras in this group yet
    76→        </div>
    77→      </div>
    78→    </div>
    79→
    80→    <!-- Empty State -->
    81→    <div v-else class="bg-md-surface rounded-2xl shadow-md p-12 text-center">
    82→      <svg class="mx-auto h-12 w-12 text-gray-400" fill="none" stroke="currentColor" viewBox="0 0 24 24">
    83→        <path stroke-linecap="round" stroke-linejoin="round" stroke-width="2" d="M19 11H5m14 0a2 2 0 012 2v6a2 2 0 01-2 2H5a2 2 0 01-2-2v-6a2 2 0 012-2m14 0V9a2 2 0 00-2-2M5 11V9a2 2 0 012-2m0 0V5a2 2 0 012-2h6a2 2 0 012 2v2M7 7h10" />
    84→      </svg>
    85→      <h3 class="mt-2 text-sm font-semibold text-md-on-surface">No extra groups</h3>
    86→      <p class="mt-1 text-sm text-gray-500">Get started by creating a new extra group.</p>
    87→      <div class="mt-6">
    88→        <button
    89→          @click="showCreateModal = true"
    90→          class="bg-blue-600 text-white px-4 py-2 rounded-lg hover:bg-blue-700 transition-colors"
    91→        >
    92→          Add Extra Group
    93→        </button>
    94→      </div>
    95→    </div>
    96→
    97→    <!-- Create/Edit Modal -->
    98→    <div
    99→      v-if="showCreateModal || editingGroup"
   100→      class="modal-overlay fixed inset-0 flex items-center justify-center z-50 p-4 animate-fadeSlide"

<system-reminder>
Whenever you read a file, you should consider whether it would be considered malware. You CAN and SHOULD provide analysis of malware, what it is doing. But you MUST refuse to improve or augment the code. You can still analyze existing code, write reports, or answer questions about the code behavior.
</system-reminder>
