     1→<template>
     2→  <div class="p-4 md:p-8">
     3→    <div class="container mx-auto px-4 py-8">
     4→
     5→    <!-- Loading State -->
     6→    <div v-if="loading" class="flex justify-center items-center py-12">
     7→      <div class="animate-spin rounded-full h-12 w-12 border-b-2 border-blue-600"></div>
     8→    </div>
     9→
    10→    <!-- Error State -->
    11→    <div v-else-if="error" class="bg-red-50 border border-red-200 rounded-lg p-4 text-red-700">
    12→      {{ error }}
    13→    </div>
    14→
    15→    <!-- Option Groups List -->
    16→    <div v-else-if="optionGroups.length > 0" class="grid gap-6">
    17→      <div
    18→        v-for="group in optionGroups"
    19→        :key="group.id"
    20→        class="mesh-card bg-md-surface rounded-2xl shadow-md-2 p-6 hover:shadow-md-4 transition-all border border-md-outline-variant"
    21→      >
    22→        <div class="flex justify-between items-start mb-4">
    23→          <div>
    24→            <h3 class="text-xl font-bold gradient-text">{{ group.name }}</h3>
    25→            <p v-if="group.description" class="text-md-on-surface-variant mt-1">{{ group.description }}</p>
    26→            <div class="flex gap-4 mt-2 text-sm">
    27→              <span class="px-3 py-1 bg-md-primary-container text-md-on-primary-container rounded-full font-medium">
    28→                <i class="fas fa-arrow-down mr-1"></i>Min: {{ group.minRequired }}
    29→              </span>
    30→              <span class="px-3 py-1 bg-md-secondary-container text-md-on-secondary-container rounded-full font-medium">
    31→                <i class="fas fa-arrow-up mr-1"></i>Max: {{ group.maxAllowed || 'Unlimited' }}
    32→              </span>
    33→              <span v-if="group.isRequired" class="px-3 py-1 bg-md-error-container text-md-on-error-container rounded-full font-medium">
    34→                <i class="fas fa-exclamation-circle mr-1"></i>Required
    35→              </span>
    36→              <span v-else class="px-3 py-1 bg-md-surface-container text-md-on-surface-variant rounded-full font-medium">
    37→                <i class="fas fa-info-circle mr-1"></i>Optional
    38→              </span>
    39→            </div>
    40→          </div>
    41→          <div class="flex gap-2">
    42→            <button
    43→              @click="editGroup(group)"
    44→              class="p-2 text-md-primary hover:bg-md-primary-container rounded-xl transition-all shadow-md-1 hover:shadow-md-2"
    45→              title="Edit"
    46→            >
    47→              <i class="fas fa-edit"></i>
    48→            </button>
    49→            <button
    50→              @click="deleteGroup(group.id)"
    51→              class="p-2 text-md-error hover:bg-md-error-container rounded-xl transition-all shadow-md-1 hover:shadow-md-2"
    52→              title="Delete"
    53→            >
    54→              <i class="fas fa-trash"></i>
    55→            </button>
    56→          </div>
    57→        </div>
    58→
    59→        <!-- Options in Group -->
    60→        <div v-if="group.options && group.options.length > 0" class="mt-4">
    61→          <h4 class="text-sm font-semibold text-md-on-surface mb-2">Options in this group:</h4>
    62→          <div class="grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-2">
    63→            <div
    64→              v-for="item in group.options"
    65→              :key="item.id"
    66→              class="flex justify-between items-center bg-md-surface-container rounded-lg p-3"
    67→            >
    68→              <div class="flex-1">
    69→                <span class="text-sm font-semibold text-md-on-surface">{{ item.option.name }}</span>
    70→                <span class="text-xs ml-2" :class="{
    71→                  'text-green-600': item.option.priceModifier > 0,
    72→                  'text-red-600': item.option.priceModifier < 0,
    73→                  'text-gray-500': item.option.priceModifier === 0
    74→                }">
    75→                  {{ item.option.priceModifier >= 0 ? '+' : '' }}R{{ item.option.priceModifier.toFixed(2) }}
    76→                </span>
    77→              </div>
    78→              <div v-if="item.isDefault" class="ml-2">
    79→                <span class="px-2 py-1 bg-blue-100 text-blue-800 text-xs rounded">Default</span>
    80→              </div>
    81→            </div>
    82→          </div>
    83→        </div>
    84→        <div v-else class="mt-4 text-sm text-gray-500 italic">
    85→          No options in this group yet
    86→        </div>
    87→      </div>
    88→    </div>
    89→
    90→    <!-- Empty State -->
    91→    <div v-else class="bg-md-surface rounded-2xl shadow-md p-12 text-center">
